"Source:","G:\Mi unidad\UTN FRA\Diseño Asistido por Computadora\Proyecto Oscilador 555\Oscilador_555\Oscilador_555.kicad_sch"
"Date:","11/8/2023 12:19:20 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\MisProgramas\KICAD_6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.01uF","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C1(1)1","100u","Device:C","Capacitor_THT:C_Radial_D12.5mm_H20.0mm_P5.00mm","~"
"","","C2(2)1","10u","Device:C","Capacitor_THT:C_Radial_D8.0mm_H7.0mm_P3.50mm","~"
"","","C3","0.01uF","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C3(3)1","1u","Device:C","Capacitor_THT:C_Rect_L16.5mm_W7.0mm_P15.00mm_MKT","~"
"","","C4(4)1","0.1u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C5(5)1","0.01u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C6(6)1","0.001u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C7(1)1","100u","Device:C","Capacitor_THT:C_Radial_D12.5mm_H20.0mm_P5.00mm","~"
"","","C8(2)1","10u","Device:C","Capacitor_THT:C_Radial_D8.0mm_H7.0mm_P3.50mm","~"
"","","C9(3)1","1u","Device:C","Capacitor_THT:C_Rect_L16.5mm_W7.0mm_P15.00mm_MKT","~"
"","","C10(5)1","0.1u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C11(5)1","0.01u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","C12(6)1","0.001u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_5mm","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_5mm","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_5mm","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_5mm","~"
"","","J1","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478204_Vertical"," ~"
"","","JP1(1)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP2(2)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP3(3)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP4(4)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP5(5)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP6(6)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP7(1)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP8(2)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP9(3)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP10(4)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP11(5)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","JP12(6)1","Jumper_2_Bridged","Jumper:Jumper_2_Bridged","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
"","","RA11","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","RA12","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","RA21","150k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Horizontal","~"
"","","RA22","100K","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Horizontal","~"
"","","RB1","14440","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","RL1","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","TP1","SAL1","Connector:TestPoint","Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat","~"
"","","TP2","RANGE FRE","Connector:TestPoint","Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat","~"
"","","TP3","RANGE DC","Connector:TestPoint","Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat","~"
"","","TP4","SAL2","Connector:TestPoint","Connector_Pin:Pin_D1.3mm_L10.0mm_W3.5mm_Flat","~"
"","","U1","NE555P","Timer:NE555P","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"","","U2","NE555P","Timer:NE555P","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"","","V1","12V","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C3","0.01uF","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"2","2","C1(1)1, C7(1)1","100u","Device:C","Capacitor_THT:C_Radial_D12.5mm_H20.0mm_P5.00mm","~"
"3","2","C2(2)1, C8(2)1","10u","Device:C","Capacitor_THT:C_Radial_D8.0mm_H7.0mm_P3.50mm","~"
"4","2","C3(3)1, C9(3)1","1u","Device:C","Capacitor_THT:C_Rect_L16.5mm_W7.0mm_P15.00mm_MKT","~"
"5","2","C4(4)1, C10(5)1","0.1u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
"6","2","C5(5)1, C11(5)1","0.01u","Device:C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~"
